time,motor_angle,motor_setpoint,pendulum_angle,pendulum_setpoint,rpm,voltage,current,e_speed,e_angle,setSpeed,setAngle
42.671,124.8,90.0,0.0,0,74,-1.5679075886587706,41,46.6134194348775,123.6311014509989,1999.9999999999998,90.0
42.674,127.26,90.0,0.0,0,50,-1.2785312813637848,39,28.879467967420034,126.4165362366588,1999.9999999999998,90.0
42.68,128.84,90.0,0.0,0,33,-0.9021838065707248,39,24.266437422917175,127.06326944510907,1999.9999999999998,90.0
42.687,129.19,90.0,0.0,0,22,-0.6877581783470261,31,19.07312273956503,128.51042582335637,1999.9999999999998,90.0
42.691,129.55,90.0,0.0,0,20,-0.655158449842105,21,9.520182832704325,129.57018421493342,1999.9999999999998,90.0
42.696,129.72,90.0,0.0,0,9,-0.6414893631475684,14,3.248272968246921,129.82545852805978,1999.9999999999998,90.0
42.704,129.55,90.0,0.0,0,-9,-0.530958502674864,13,-5.019862539504926,129.9183763363723,1999.9999999999998,90.0
42.707,129.02,90.0,0.0,0,-9,-0.4688849834199509,12,-10.075022157522332,129.62711162690158,1999.9999999999998,90.0
42.712,128.49,90.0,0.0,0,-9,-0.3595181819948934,9,-12.512131134241228,129.32178715651074,1999.9999999999998,90.0
42.716,128.14,90.0,0.0,0,-16,-0.28157142004366165,7,-16.220732546113023,128.74067272298564,1999.9999999999998,90.0
42.721,127.61,90.0,0.0,0,-16,-0.256226160853644,4,-18.44045178245315,128.11798216064312,1999.9999999999998,90.0
42.728,127.08,90.0,0.0,0,-19,-0.2011965393666615,2,-19.91435803099541,127.45297720133105,1999.9999999999998,90.0
42.732,126.56,90.0,0.0,0,-20,-0.17050347724704729,2,-21.09886767003926,126.54254181410367,1999.9999999999998,90.0
42.74,125.68,90.0,0.0,0,-20,-0.15983804439229443,1,-20.552776895708067,125.85073198994192,1999.9999999999998,90.0
42.746,124.98,90.0,0.0,0,-20,-0.14213138510727807,0,-21.010774738797114,124.96784972403007,1999.9999999999998,90.0
42.753,124.27,90.0,0.0,0,-20,-0.16507926565898767,1,-20.712919463300718,124.16921747893126,1999.9999999999998,90.0
42.759,123.57,90.0,0.0,0,-19,-0.1635838108632215,1,-20.319782108363707,123.36637838762572,1999.9999999999998,90.0
42.764,122.87,90.0,0.0,0,-18,-0.17869965259613174,0,-19.827923083122492,122.69623281373472,1999.9999999999998,90.0
42.775,122.16,90.0,0.0,0,-17,-0.19148536391833426,0,-19.829307397015373,121.86840480018392,1999.9999999999998,90.0
42.782,121.46,90.0,0.0,0,-16,-0.21587483871584245,0,-19.561386465437,120.95639276522373,1999.9999999999998,90.0
42.786,120.76,90.0,0.0,0,-15,-0.23258180190045863,0,-18.72380124045414,120.39453428892077,1999.9999999999998,90.0
42.79,120.05,90.0,0.0,0,-14,-0.23971694488723916,1,-18.71438972837034,120.06056124173291,1999.9999999999998,90.0
42.793,119.88,90.0,0.0,0,-14,-0.2541942296782347,1,-19.60798016777834,119.61698375063574,1999.9999999999998,90.0
42.799,119.53,90.0,0.0,0,-14,-0.26141668279076136,1,-19.736137801457847,119.19646632497935,1999.9999999999998,90.0
42.808,119.17,90.0,0.0,0,-14,-0.2506949270356089,2,-19.781706981835615,118.64364663279119,1999.9999999999998,90.0
42.814,118.47,90.0,0.0,0,-14,-0.2595502046895084,2,-19.250445173888654,117.85748133423752,1999.9999999999998,90.0
42.818,117.59,90.0,0.0,0,-16,-0.2792956526799757,2,-18.813863646220646,117.4104046077689,1999.9999999999998,90.0
42.822,117.07,90.0,0.0,0,-16,-0.2887346579969723,2,-19.667364461167452,116.98124539091837,1999.9999999999998,90.0
42.831,116.54,90.0,0.0,0,-17,-0.2998345387836112,3,-21.169054904716873,116.2538118142688,1999.9999999999998,90.0
42.84,115.83,90.0,0.0,0,-18,-0.29731529413567026,3,-21.63268339992804,115.3461054207955,1999.9999999999998,90.0
42.847,114.78,90.0,0.0,0,-20,-0.2813745881449443,3,-21.046195406941806,114.65386637618121,1999.9999999999998,90.0
42.856,113.9,90.0,0.0,0,-21,-0.2725007709860314,3,-22.32961033825531,113.74518147866591,1999.9999999999998,90.0
42.859,112.85,90.0,0.0,0,-22,-0.2895546204384325,3,-22.959375484315927,112.75867261549811,1999.9999999999998,90.0
42.864,111.62,90.0,0.0,0,-24,-0.26836104587016063,2,-23.103605922187416,112.3126720129598,1999.9999999999998,90.0
42.867,111.26,90.0,0.0,0,-24,-0.24098988890651052,3,-25.53371398296167,111.41086156356283,1999.9999999999998,90.0
42.872,110.39,90.0,0.0,0,-25,-0.2415641370760766,2,-25.538492664576985,110.98001745360772,1999.9999999999998,90.0
42.879,110.03,90.0,0.0,0,-25,-0.18277904947975898,1,-27.018271511023446,109.90881958937699,1999.9999999999998,90.0
42.884,109.16,90.0,0.0,0,-25,-0.18720258678032797,2,-25.242776547595806,108.81129181690791,1999.9999999999998,90.0
42.888,108.1,90.0,0.0,0,-25,-0.15172797587029185,0,-23.845676665212263,108.24185285519032,1999.9999999999998,90.0
42.892,107.4,90.0,0.0,0,-25,-0.16346853329310385,0,-23.98057880810039,107.5586704932628,1999.9999999999998,90.0
42.897,106.69,90.0,0.0,0,-24,-0.1831797123875245,1,-24.008513877110683,107.0391711073514,1999.9999999999998,90.0
42.904,106.34,90.0,0.0,0,-23,-0.17026811201048186,1,-24.59895523799388,106.15976110479357,1999.9999999999998,90.0
42.912,105.46,90.0,0.0,0,-23,-0.1679860056968634,0,-22.673750530166885,105.05270613030106,1999.9999999999998,90.0
42.919,104.41,90.0,0.0,0,-22,-0.15167502940328648,0,-20.532532076791835,104.23028759615022,1999.9999999999998,90.0
42.925,103.53,90.0,0.0,0,-21,-0.1697191292715643,1,-20.14690053176917,103.49897768459803,1999.9999999999998,90.0
42.929,102.83,90.0,0.0,0,-20,-0.19674548905696865,1,-20.31345545795462,102.78321647260307,1999.9999999999998,90.0
42.933,102.12,90.0,0.0,0,-19,-0.1944683468978674,0,-20.239078073546427,102.33739021442966,1999.9999999999998,90.0
42.942,101.6,90.0,0.0,0,-19,-0.17853205272770323,1,-21.017032544417294,101.53147810797647,1999.9999999999998,90.0
42.95,100.89,90.0,0.0,0,-18,-0.17772230334121808,1,-20.292580797894153,100.65854534116163,1999.9999999999998,90.0
42.958,100.19,90.0,0.0,0,-18,-0.15355140261656564,0,-18.8259714485665,99.77516772278238,1999.9999999999998,90.0
42.961,99.31,90.0,0.0,0,-17,-0.15407752175871003,0,-17.000809763677978,99.0756517739274,1999.9999999999998,90.0
42.968,98.43,90.0,0.0,0,-17,-0.16578867725951607,1,-16.843467344899768,98.83080167133865,1999.9999999999998,90.0
42.974,98.26,90.0,0.0,0,-17,-0.1814876857435097,0,-19.161508513117283,97.9178590150607,1999.9999999999998,90.0
42.977,97.55,90.0,0.0,0,-15,-0.18630857079853236,1,-17.586767348575115,97.38653506582284,1999.9999999999998,90.0
42.984,97.03,90.0,0.0,0,-14,-0.12747961850524447,0,-17.155212782335322,97.01379234246802,1999.9999999999998,90.0
42.992,96.67,90.0,0.0,0,-14,-0.14396338808532771,0,-17.083000498995986,96.40928451001272,1999.9999999999998,90.0
42.999,96.15,90.0,0.0,0,-14,-0.14687657768696694,0,-15.688506606763507,95.68857317506311,1999.9999999999998,90.0
43.006,95.62,90.0,0.0,0,-13,-0.13885223879908404,0,-13.879535418030285,95.17364706797497,1999.9999999999998,90.0
43.01,95.09,90.0,0.0,0,-11,-0.14916808230604284,0,-12.940511812039693,94.79850595701483,1999.9999999999998,90.0
43.015,94.57,90.0,0.0,0,-11,-0.17092753686495232,0,-12.877640065121938,94.55454461175148,1999.9999999999998,90.0
43.018,94.39,90.0,0.0,0,-10,-0.17948059798125815,0,-13.5071272434096,94.20296850009218,1999.9999999999998,90.0
43.027,94.21,90.0,0.0,0,-10,-0.17674916173979405,0,-13.445401074889363,93.83627961153806,1999.9999999999998,90.0
43.031,93.86,90.0,0.0,0,-10,-0.15930084692540136,0,-12.661429630808001,93.48578903925453,1999.9999999999998,90.0
43.035,93.51,90.0,0.0,0,-9,-0.15348635702023072,0,-12.157648954318445,93.2201957905362,1999.9999999999998,90.0
43.039,93.33,90.0,0.0,0,-9,-0.15975269992292196,0,-11.994481431615357,92.96742779004144,1999.9999999999998,90.0
43.043,92.98,90.0,0.0,0,-8,-0.16315684227752403,0,-11.771389400197243,92.82930198842877,1999.9999999999998,90.0
43.048,92.98,90.0,0.0,0,-8,-0.16015542518685422,0,-11.9816554984621,92.56017927870013,1999.9999999999998,90.0
43.051,92.81,90.0,0.0,0,-8,-0.1619069716487771,0,-11.348468565896553,92.33380613775032,1999.9999999999998,90.0
43.056,92.63,90.0,0.0,0,-8,-0.15261725356437106,0,-10.92444681334749,92.21266010761825,1999.9999999999998,90.0
43.059,92.46,90.0,0.0,0,-7,-0.15829674004728433,0,-10.487018279007142,92.00091506286448,1999.9999999999998,90.0
43.068,92.28,90.0,0.0,0,-6,-0.1638741249355551,0,-10.044746032367986,91.83182807436296,1999.9999999999998,90.0
43.072,92.28,90.0,0.0,0,-6,-0.16692044879689005,0,-9.604325416098533,91.61340007295675,1999.9999999999998,90.0
43.079,92.1,90.0,0.0,0,-6,-0.17155856335164854,0,-8.765118136921586,91.53213310977243,1999.9999999999998,90.0
43.084,91.93,90.0,0.0,0,-6,-0.17419910465125588,0,-8.32274078550623,91.424620200304,1999.9999999999998,90.0
43.093,91.93,90.0,0.0,0,-5,-0.18766972721428932,0,-8.192653256128283,91.27311449834079,1999.9999999999998,90.0
43.097,91.75,90.0,0.0,0,-3,-0.19387907948889316,0,-7.502646072143055,91.21068232581347,1999.9999999999998,90.0
43.101,91.75,90.0,0.0,0,-3,-0.19314587369248093,0,-7.511087179540297,91.16524316833974,1999.9999999999998,90.0
43.108,91.58,90.0,0.0,0,-2,-0.20392993760223233,2,-7.38874714711977,91.11889263146902,1999.9999999999998,90.0
43.113,91.58,90.0,0.0,0,-2,-0.20331818059477458,2,-7.7277443768460055,91.01199315092597,1999.9999999999998,90.0
43.122,91.4,90.0,0.0,0,-2,-0.20516107867764344,2,-7.524331458624175,90.93958177495381,1999.9999999999998,90.0
43.126,91.4,90.0,0.0,0,-2,-0.1972421230436563,2,-7.794263336029007,90.81550833375518,1999.9999999999998,90.0
43.134,91.05,90.0,0.0,0,-2,-0.1996906876921205,2,-7.54887617075497,90.76563323063525,1999.9999999999998,90.0
43.141,91.05,90.0,0.0,0,-2,-0.19213569082896997,2,-8.612454632405415,90.53376729276856,1999.9999999999998,90.0
43.15,90.7,90.0,0.0,0,-3,-0.19586248915366733,2,-7.86123526626496,90.33596646129975,1999.9999999999998,90.0
43.158,90.35,90.0,0.0,0,-3,-0.17190227122582913,0,-8.211175668496596,90.12471464965387,1999.9999999999998,90.0
43.167,90.17,90.0,0.0,0,-5,-0.1797948640781346,2,-8.78324844317707,89.8925312587675,1999.9999999999998,90.0
43.17,90.0,90.0,0.0,0,-5,-0.1680828705058368,0,-8.86549596502622,89.61727396300394,1999.9999999999998,90.0
43.176,89.64,90.0,0.0,0,-5,-0.15174665431658774,0,-8.659279760679665,89.53036576945446,1999.9999999999998,90.0
43.184,89.64,90.0,0.0,0,-5,-0.142621439520211,0,-9.399924245114391,89.15622921366231,1999.9999999999998,90.0
43.191,89.29,90.0,0.0,0,-5,-0.14325257099329214,0,-8.362221300625771,89.00874677572286,1999.9999999999998,90.0
43.198,89.29,90.0,0.0,0,-5,-0.11959683883827532,0,-8.13328186593492,88.72498256376676,1999.9999999999998,90.0
43.203,89.12,90.0,0.0,0,-5,-0.13224405660276384,0,-6.888683623818761,88.63267301753054,1999.9999999999998,90.0
43.208,88.94,90.0,0.0,0,-4,-0.12727512867762147,0,-6.48391379761623,88.57801571348998,1999.9999999999998,90.0
43.217,88.94,90.0,0.0,0,-3,-0.14528969440229123,0,-6.495898132213155,88.48486293812213,1999.9999999999998,90.0
43.223,88.94,90.0,0.0,0,-3,-0.1496797878696774,0,-5.994375720415319,88.39193465461604,1999.9999999999998,90.0
43.227,88.94,90.0,0.0,0,-2,-0.14520315506953452,0,-5.369005166490618,88.3743857180181,1999.9999999999998,90.0
43.232,88.94,90.0,0.0,0,-2,-0.14981494882415403,0,-5.066327321966594,88.38366770219956,1999.9999999999998,90.0
43.239,88.94,90.0,0.0,0,-2,-0.15914961992630383,0,-4.817639750233576,88.40061457573587,1999.9999999999998,90.0
43.246,88.94,90.0,0.0,0,-1,-0.16351924321839517,0,-4.626131170022831,88.4266032010224,1999.9999999999998,90.0
43.252,88.94,90.0,0.0,0,-1,-0.16679963369306794,0,-4.597187454066122,88.44905832496288,1999.9999999999998,90.0
43.256,88.94,90.0,0.0,0,-1,-0.16940861393176565,0,-4.650373707779243,88.46362475335171,1999.9999999999998,90.0
43.26,88.94,90.0,0.0,0,-1,-0.1691572871720921,0,-4.697275958094272,88.4675747454244,1999.9999999999998,90.0
43.268,88.94,90.0,0.0,0,-1,-0.1678605603234713,0,-4.750822539165774,88.47051192949624,1999.9999999999998,90.0
43.275,88.94,90.0,0.0,0,-1,-0.16602936173229033,0,-4.788957654498097,88.47083455320126,1999.9999999999998,90.0
43.282,88.94,90.0,0.0,0,-1,-0.1637300071644372,0,-4.791322077243365,88.46946647917026,1999.9999999999998,90.0
43.289,88.94,90.0,0.0,0,-1,-0.16165833086869563,0,-4.765873344941528,88.46857339920972,1999.9999999999998,90.0
43.293,88.94,90.0,0.0,0,-1,-0.1601665287589693,0,-4.712023781762623,88.46917206992069,1999.9999999999998,90.0
43.298,88.94,90.0,0.0,0,0,-0.1588795255751263,0,-4.695616683257494,88.47040660507385,1999.9999999999998,90.0
43.304,88.94,90.0,0.0,0,0,-0.15910308233691373,0,-4.670128877054237,88.4722489202568,1999.9999999999998,90.0
43.311,88.94,90.0,0.0,0,0,-0.15841120904973494,0,-4.637381152141256,88.47478955642275,1999.9999999999998,90.0
43.319,88.94,90.0,0.0,0,0,-0.15764545665535135,0,-4.585560338332635,88.47881528854862,1999.9999999999998,90.0
43.327,88.94,90.0,0.0,0,0,-0.15647197500829702,0,-4.558991310313636,88.48257040792853,1999.9999999999998,90.0
43.335,88.94,90.0,0.0,0,0,-0.15600198557902134,0,-4.536479298628827,88.48586599111901,1999.9999999999998,90.0
43.343,88.94,90.0,0.0,0,0,-0.15508173459818142,0,-4.505741624606108,88.48920454624799,1999.9999999999998,90.0
43.351,88.94,90.0,0.0,0,0,-0.1538177329294541,0,-4.4774945381490445,88.4922618085122,1999.9999999999998,90.0
43.36,88.94,90.0,0.0,0,0,-0.1527689318569534,0,-4.439699713437938,88.49557187379828,1999.9999999999998,90.0
43.363,88.94,90.0,0.0,0,0,-0.15145359190428875,0,-4.416990241165416,88.49835213601273,1999.9999999999998,90.0
43.368,88.94,90.0,0.0,0,0,-0.15071824841557868,0,-4.4110302761758104,88.49958969905694,1999.9999999999998,90.0
