time,motor_angle,voltage
7.197,50198.9,12.0
7.205,50337.42,12.0
7.214,50448.86,12.0
7.224,50598.63,12.0
7.228,50777.57,12.0
7.231,50904.49,12.0
7.236,50969.17,12.0
7.24,51030.0,12.0
7.247,51109.27,12.0
7.255,51167.98,12.0
7.262,51304.21,12.0
7.271,51447.12,12.0
7.277,51562.08,12.0
7.288,51704.29,12.0
7.295,51843.33,12.0
7.305,52005.93,12.0
7.311,52129.33,12.0
7.318,52288.94,12.0
7.322,52432.2,12.0
7.326,52499.35,12.0
7.33,52562.46,12.0
7.334,52636.81,12.0
7.343,52701.85,12.0
7.353,52815.93,12.0
7.361,52957.26,12.0
7.371,53097.36,12.0
7.379,53281.58,12.0
7.388,53427.12,12.0
7.399,53578.65,12.0
7.408,53716.81,12.0
7.412,53921.25,12.0
7.416,54024.6,12.0
7.42,54100.19,12.0
7.424,54163.65,12.0
7.428,54242.92,12.0
7.435,54300.93,12.0
7.443,54381.26,12.0
7.451,54502.91,12.0
7.457,54650.21,12.0
7.466,54764.12,12.0
7.474,54920.21,12.0
7.483,55034.64,12.0
7.49,55162.79,12.0
7.494,55313.26,12.0
7.508,55437.89,12.0
7.518,55588.88,12.0
7.523,55752.01,12.0
7.532,55915.83,12.0
7.539,56026.93,12.0
7.549,56150.85,12.0
7.555,56293.06,12.0
7.561,56458.82,12.0
7.569,56536.17,12.0
7.576,56653.94,12.0
7.586,56797.91,12.0
7.592,56905.66,12.0
7.6,57100.42,12.0
7.604,57188.14,12.0
7.613,57304.51,12.0
7.622,57396.97,12.0
7.629,57537.07,12.0
7.639,57687.89,12.0
7.645,57843.63,12.0
7.649,57980.39,12.0
7.658,58070.21,12.0
7.664,58137.71,12.0
7.671,58290.46,12.0
7.682,58397.69,12.0
7.69,58532.87,12.0
7.698,58734.14,12.0
7.706,58861.4,12.0
7.712,58976.54,12.0
7.722,59115.93,12.0
7.733,59215.42,12.0
7.74,59376.09,12.0
7.75,59579.82,12.0
7.757,59736.26,12.0
7.767,59875.13,12.0
7.777,59982.36,12.0
7.787,60147.07,12.0
7.793,60364.51,12.0
7.803,60509.7,12.0
7.812,60636.62,12.0
7.818,60774.78,12.0
7.828,60909.96,12.0
7.835,61026.5,12.0
7.844,61188.22,12.0
7.852,61308.8,12.0
7.86,61458.75,12.0
7.871,61584.78,12.0
7.879,61732.26,12.0
7.887,61942.5,12.0
7.891,62067.3,12.0
7.895,62178.57,12.0
7.9,62251.69,12.0
7.907,62315.33,12.0
7.912,62391.62,12.0
7.92,62540.68,12.0
7.927,62611.17,12.0
7.937,62741.25,12.0
7.945,62895.23,12.0
7.948,63047.46,12.0
7.953,63156.97,12.0
7.956,63216.73,12.0
7.96,63296.19,12.0
7.967,63358.76,12.0
7.975,63434.53,12.0
7.981,63575.33,12.0
7.991,63704.53,12.0
8.0,63845.85,12.0
8.007,63954.14,12.0
8.016,64121.83,12.0
8.024,64239.25,12.0
8.03,64395.17,12.0
8.038,64547.22,12.0
8.045,64656.21,12.0
8.053,64753.24,12.0
8.06,64896.5,12.0
8.068,65017.96,12.0
8.077,65118.51,12.0
8.083,65302.73,12.0
8.087,65430.7,12.0
8.094,65522.98,12.0
8.102,65582.92,12.0
8.109,65725.31,12.0
8.116,65861.54,12.0
8.125,65972.28,12.0
8.132,66127.67,12.0
8.136,66261.26,12.0
8.144,66360.76,12.0
8.153,66422.28,12.0
8.158,66581.01,12.0
8.167,66717.07,12.0
8.174,66799.85,12.0
8.182,66952.09,12.0
8.185,67080.93,12.0
8.196,67192.56,12.0
8.205,67298.9,12.0
8.21,67444.28,12.0
8.22,67601.25,12.0
8.227,67735.54,12.0
8.231,67866.85,12.0
8.238,67958.43,12.0
8.243,68025.23,12.0
8.251,68167.96,12.0
8.262,68257.96,12.0
8.268,68393.67,12.0
8.276,68596.52,12.0
8.283,68677.73,12.0
8.29,68795.15,12.0
8.298,68916.26,12.0
8.306,69042.3,12.0
8.313,69170.79,12.0
8.321,69348.86,12.0
8.325,69455.74,12.0
8.331,69561.56,12.0
8.339,69625.01,12.0
8.346,69744.02,12.0
8.355,69889.21,12.0
8.362,70007.34,12.0
8.366,70183.12,12.0
8.37,70268.9,12.0
8.374,70320.76,12.0
8.382,70398.45,12.0
8.392,70462.96,12.0
8.402,70632.59,12.0
8.411,70776.39,12.0
8.415,70968.51,11.9
8.419,71096.31,11.8
8.426,71154.84,11.7
8.433,71231.31,11.6
8.441,71366.83,11.500000000000002
8.448,71485.48,11.400000000000002
8.458,71595.7,11.300000000000002
8.466,71743.71,11.200000000000005
8.475,71926.0,11.100000000000003
8.482,72046.4,11.000000000000004
8.491,72179.82,10.900000000000004
8.502,72292.14,10.800000000000004
8.509,72492.35,10.700000000000005
8.513,72651.26,10.600000000000003
8.517,72744.78,10.500000000000004
8.524,72803.5,10.400000000000006
8.533,72872.04,10.300000000000006
8.54,72984.72,10.200000000000006
8.546,73129.75,10.100000000000009
8.555,73233.63,10.000000000000009
8.563,73371.26,9.900000000000007
8.573,73491.67,9.800000000000008
8.582,73650.23,9.700000000000008
8.59,73777.67,9.600000000000009
8.599,73908.45,9.500000000000009
8.604,74065.25,9.40000000000001
8.607,74168.78,9.30000000000001
8.612,74240.15,9.20000000000001
8.622,74299.04,9.10000000000001
8.63,74362.32,9.00000000000001
8.638,74531.6,8.900000000000011
8.65,74650.42,8.800000000000011
8.657,74779.45,8.700000000000012
8.666,74984.06,8.600000000000012
8.674,75080.39,8.500000000000012
8.685,75197.98,8.400000000000013
8.691,75304.68,8.300000000000013
8.698,75461.65,8.200000000000014
8.708,75588.57,8.100000000000014
8.715,75677.34,8.000000000000014
8.722,75823.42,7.900000000000015
8.732,75888.98,7.800000000000015
8.738,76025.74,7.700000000000015
8.743,76144.92,7.600000000000016
8.747,76221.39,7.500000000000016
8.751,76280.79,7.400000000000016
8.755,76338.28,7.300000000000017
8.763,76394.53,7.200000000000017
8.769,76446.73,7.100000000000017
8.778,76570.31,7.000000000000018
8.783,76642.73,6.900000000000018
8.795,76783.89,6.8000000000000185
8.802,76871.95,6.700000000000019
8.809,76995.7,6.600000000000019
8.817,77077.26,6.50000000000002
8.829,77189.06,6.40000000000002
8.837,77328.81,6.30000000000002
8.844,77462.57,6.200000000000021
8.851,77506.87,6.100000000000021
8.859,77599.15,6.000000000000021
8.869,77698.29,5.900000000000022
8.876,77787.59,5.800000000000022
8.882,77896.57,5.700000000000022
8.886,77988.68,5.600000000000023
8.89,78046.17,5.500000000000023
8.894,78091.52,5.400000000000024
8.898,78141.96,5.300000000000024
8.904,78186.09,5.200000000000024
8.912,78227.4,5.1000000000000245
8.923,78292.79,5.000000000000025
8.933,78393.34,4.900000000000025
8.94,78511.1,4.800000000000026
8.949,78610.42,4.700000000000026
8.96,78693.57,4.600000000000026
8.969,78785.32,4.500000000000027
8.976,78890.97,4.400000000000027
8.98,78985.71,4.300000000000027
8.984,79037.4,4.200000000000028
8.988,79075.71,4.100000000000028
8.993,79114.75,4.000000000000028
8.999,79156.57,3.900000000000028
9.007,79195.25,3.800000000000028
9.018,79267.5,3.700000000000028
9.027,79329.54,3.600000000000028
9.034,79443.63,3.500000000000028
9.037,79515.53,3.400000000000028
9.046,79560.17,3.300000000000028
